Time,Instance,AvgCPUload,AvgRAM
1605183265,4,41.09,62.57
1605183266,3,40.16,62.56
1605183267,3,43.8,62.57
1605183268,4,47.95,62.57
1605183269,2,39.17,62.58
1605183270,3,40.41,62.57
1605183271,4,39.18,62.58
1605183272,2,35.88,62.59
1605183273,3,40.34,62.6
1605183274,4,40.74,62.6
1605183275,4,41.62,62.59
1605183276,4,42.18,62.6
1605183278,4,37.81,62.6
1605183279,4,41.1,62.6
1605183281,5,40.18,62.6
1605183282,4,39.61,62.59
1605183284,5,36.38,62.6
1605183285,5,40.06,62.59
1605183287,5,38.52,62.59
1605183288,5,38.64,62.6
1605183289,5,41.41,62.61
1605183291,5,40.49,62.61
1605183293,5,42.74,62.63
1605183294,3,39.19,62.61
1605183295,4,39.27,62.6
1605183296,5,38.72,62.61
1605183297,2,35.9,62.62
1605183298,4,36.49,62.61
1605183299,5,39.52,62.6
1605183300,2,37.03,62.6
1605183301,5,38.26,62.6
1605183302,5,33.49,62.6
1605183303,2,38.15,62.6
1605183304,5,38.33,62.6
1605183305,5,36.36,62.6
1605183306,2,37.59,62.61
1605183307,5,38.16,62.6
1605183308,5,38.61,62.61
1605183309,4,38.31,62.61
1605183310,4,37.37,62.61
1605183312,5,36.62,62.62
1605183313,5,34.56,62.61
1605183314,4,34.97,62.6
1605183315,3,36.53,62.6
1605183316,5,38.7,62.6
1605183317,4,41.37,62.62
1605183318,3,37.01,62.62
1605183319,5,35.25,62.62
1605183320,5,36.64,62.64
1605183321,4,40.61,62.61
1605183322,3,40.33,62.61
1605183323,5,34.68,62.61
1605183324,3,36.13,62.62
1605183325,2,35.44,62.61
1605183325,3,35.57,62.61
1605183326,5,36.64,62.61
1605183327,5,40.2,62.61
1605183328,3,36.18,62.61
1605183329,4,36.69,62.61
1605183330,5,41.4,62.61
1605183331,3,38.84,62.61
1605183332,4,37.92,62.61
1605183333,5,38.31,62.61
1605183334,3,38.06,62.61
1605183335,4,36.71,62.6
1605183336,5,37.69,62.6
1605183337,5,41.87,62.63
1605183338,4,44.86,62.62
1605183340,3,45.6,62.62
1605183341,5,46.11,62.63
1605183342,3,46.4,62.62
1605183343,3,47.76,62.61
1605183344,5,44.52,62.64
1605183345,2,46.87,62.62
1605183346,4,47.68,62.63
1605183347,5,47.66,62.65
1605183349,5,47.32,62.64
1605183350,5,41.78,62.64
1605183352,5,43.45,62.66
1605183353,5,39.88,62.69
1605183355,5,38.1,62.69
1605183356,5,41.58,62.68
1605183357,4,39.56,62.69
1605183358,2,37.67,62.67
1605183359,5,39.28,62.66
1605183360,4,53.96,63.62
1605183361,2,78.5,64.45
1605183362,5,80.02,64.79
1605183363,4,96.82,64.75
1605183364,3,100,65.54
1605183365,5,97.55,65.51
1605183366,3,94.71,66.93
1605183367,2,98.92,67.56
1605183367,4,97.44,67.68
1605183368,3,89.92,67.9
1605183369,4,74.23,68.03
1605183370,3,54.87,68.15
1605183371,4,54.68,68.16
1605183372,4,51.02,68.15
1605183373,5,46.62,68.15
1605183374,5,39.8,68.16
1605183375,4,39.96,68.16
1605183376,5,39.09,68.15
1605183378,3,40.66,68.17
1605183379,4,40.83,68.17
1605183379,3,39.32,68.17
1605183380,5,42.44,68.16
1605183381,5,43.5,68.15
1605183383,5,45.24,68.17
1605183384,3,53.2,68.16
1605183385,4,54.81,68.18
1605183386,5,44.89,68.18
1605183387,3,42.66,68.17
1605183388,4,50.1,68.16
1605183389,4,52.5,68.19
1605183390,4,50.52,68.16
1605183391,4,50.39,68.15
1605183392,5,50.3,68.15
1605183393,4,48.79,68.15
1605183394,3,46.92,68.16
1605183395,5,46.66,68.16
1605183396,4,45.34,68.16
1605183397,3,45.86,68.18
1605183398,5,51.28,68.19
1605183399,4,49.93,68.2
1605183400,3,50.49,68.19
1605183401,5,49.82,68.19
1605183402,3,51.37,68.16
1605183403,3,50.67,68.17
1605183404,5,44.99,68.17
1605183405,3,53.51,68.17
1605183406,3,52.87,68.19
1605183407,4,46.41,68.19
1605183408,5,54.7,68.2
1605183409,2,55.17,68.19
1605183410,5,55.19,68.18
1605183412,5,51.62,68.2
1605183413,5,47.75,68.19
1605183415,6,46.79,68.19
1605183416,5,45.15,68.19
1605183418,6,46.27,68.2
1605183419,5,44.36,68.2
1605183420,5,46.38,68.2
1605183421,3,45.96,68.21
1605183422,6,47.8,68.22
1605183423,4,47.79,68.24
1605183424,3,47.09,68.24
1605183425,5,48.05,68.25
1605183426,5,48.43,68.23
1605183427,4,48.21,68.24
1605183428,6,45.33,68.22
1605183429,4,45.05,68.23
1605183430,4,44.66,68.23
1605183431,4,43.55,68.25
1605183432,5,43.45,68.25
1605183433,5,46.18,68.26
1605183434,4,44.7,68.23
1605183435,5,44.11,68.21
1605183436,6,45.39,68.21
1605183437,6,42.37,68.23
1605183438,4,44.77,68.24
1605183439,3,45.35,68.25
1605183440,4,44.35,68.25
1605183441,4,45.15,68.23
1605183442,4,46.79,68.22
1605183443,6,47.06,68.22
1605183444,4,45.5,68.22
1605183445,5,46.72,68.24
1605183446,2,44.75,68.26
1605183446,4,43.7,68.26
1605183447,6,43.71,68.25
1605183448,4,46.72,68.24
1605183449,4,48.24,68.26
1605183450,6,43.23,68.25
1605183451,4,44.6,68.26
1605183452,4,45.8,68.25
1605183454,6,45.39,68.25
1605183455,5,45.83,68.26
1605183456,4,46.81,68.26
1605183457,5,40.23,68.24
1605183458,5,49.79,68.23
1605183459,4,47.92,68.27
1605183460,5,43.43,68.25
1605183461,5,44.57,68.23
1605183462,5,45.49,68.22
1605183463,4,45.63,68.22
1605183464,2,45.01,68.22
1605183464,4,45.38,68.22
1605183465,5,45.88,68.24
1605183466,5,43.84,68.24
1605183467,4,45.33,68.24
1605183468,5,47.5,68.26
1605183469,5,46.76,68.25
1605183470,4,49.39,68.25
1605183471,5,51.93,68.25
1605183472,6,55.09,68.24
1605183473,5,53.42,68.27
1605183475,4,53.78,68.26
1605183476,5,50.79,68.26
1605183477,2,51.98,68.26
1605183478,6,58.42,68.24
1605183479,4,60.23,68.25
1605183480,3,61.71,68.24
1605183481,6,58.85,68.25
1605183482,4,53.86,68.24
1605183483,4,53.69,68.26
1605183484,5,52.28,68.26
1605183485,5,47.17,68.24
1605183486,3,44.83,68.24
1605183487,5,45.76,68.26
1605183488,5,46.93,68.26
1605183489,3,43.99,68.24
1605183490,5,47.01,68.24
1605183491,5,46.45,68.24
1605183492,4,46.21,68.24
1605183493,5,47.01,68.39
1605183494,4,66.51,69.18
1605183495,5,76.12,70.31
1605183496,4,85.26,70.23
1605183497,4,98.44,69.99
1605183498,6,99.03,71.25
1605183499,4,95.94,70.98
1605183500,6,98.33,71.93
1605183501,4,100,73.28
1605183502,5,98.79,73.41
1605183503,4,82.81,73.64
1605183504,5,63.41,73.72
1605183505,5,61.18,73.76
1605183506,4,60.78,73.77
1605183507,4,62.7,73.79
1605183508,6,54.11,73.79
1605183509,5,53.81,73.81
1605183511,6,53.73,73.8
1605183512,4,51.79,73.8
1605183513,4,52.14,73.8
1605183514,6,52.74,73.81
1605183515,4,52.56,73.83
1605183516,4,50.55,73.82
1605183517,6,54.89,73.82
1605183518,5,53.95,73.8
1605183519,3,56,73.8
1605183520,4,55.77,73.84
1605183520,6,58.08,73.84
1605183522,4,59.74,73.83
